,gene_name,chr,orientation,start,end,goi,locus_name,tair_name,object_name,relationship,ontology,go_id,tair_id,Aspect,goslim,evidence_code,evidence_description,evidence_with,reference,annotator,date,set
0,DCL1,1,F,23146,31227,False,AT1G01040,locus:2200960,AT1G01040,acts upstream of or within,seed morphogenesis,GO:0048317,18546,P,post-embryonic development,IMP,phenotype of allelic variants,NONE,Publication:501760358|PMID:24784759  ,pjenik,2014-09-25,2
1,DCL1,1,F,23146,31227,False,AT1G01040,locus:2200960,AT1G01040,acts upstream of or within,seed morphogenesis,GO:0048317,18546,P,multicellular organism development,IMP,phenotype of allelic variants,NONE,Publication:501760358|PMID:24784759  ,pjenik,2014-09-25,2
2,DCL1,1,F,23146,31227,False,AT1G01040,locus:2200960,AT1G01040,acts upstream of or within,seed morphogenesis,GO:0048317,18546,P,anatomical structure development,IMP,phenotype of allelic variants,NONE,Publication:501760358|PMID:24784759  ,pjenik,2014-09-25,2
3,UMAMIT28,1,R,38752,40944,False,AT1G01070,locus:2200990,AT1G01070,acts upstream of or within,seed development,GO:0048316,18540,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501767310|PMID:26628011  ,TAIR,2015-12-18,2
4,UMAMIT28,1,R,38752,40944,False,AT1G01070,locus:2200990,AT1G01070,acts upstream of or within,seed development,GO:0048316,18540,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501767310|PMID:26628011  ,TAIR,2015-12-18,2
5,UMAMIT28,1,R,38752,40944,False,AT1G01070,locus:2200990,AT1G01070,acts upstream of or within,seed development,GO:0048316,18540,P,post-embryonic development,IMP,analysis of visible trait,NONE,Publication:501767310|PMID:26628011  ,TAIR,2015-12-18,2
6,AN,1,F,187211,190056,False,AT1G01510,locus:2025376,AT1G01510,involved in,fruit morphogenesis,GO:0048530,20948,P,multicellular organism development,IMP,none,,Publication:501735012|PMID:19843316  ,,2021-03-31,1
7,AN,1,F,187211,190056,False,AT1G01510,locus:2025376,AT1G01510,involved in,fruit morphogenesis,GO:0048530,20948,P,anatomical structure development,IMP,none,,Publication:501735012|PMID:19843316  ,,2021-03-31,1
8,MEA,1,F,544783,549202,False,AT1G02580,locus:2196110,AT1G02580,acts upstream of or within,seed morphogenesis,GO:0048317,18546,P,post-embryonic development,IGI,double mutant analysis,AGI_LocusCode:AT5G54650,Publication:501734738|PMID:19783734  ,TAIR,2009-10-29,2
9,MEA,1,F,544783,549202,False,AT1G02580,locus:2196110,AT1G02580,acts upstream of or within,seed morphogenesis,GO:0048317,18546,P,anatomical structure development,IGI,double mutant analysis,AGI_LocusCode:AT5G54650,Publication:501734738|PMID:19783734  ,TAIR,2009-10-29,2
10,MEA,1,F,544783,549202,False,AT1G02580,locus:2196110,AT1G02580,acts upstream of or within,seed morphogenesis,GO:0048317,18546,P,multicellular organism development,IGI,double mutant analysis,AGI_LocusCode:AT5G54650,Publication:501734738|PMID:19783734  ,TAIR,2009-10-29,2
