name	tair_object	p1	p2	x	chr
Gene:2200934	AT1G01010.1	3631	5899	F	1
Gene:2200939	AT1G01020.1	5928	8737	R	1
Gene:1009021149	AT1G01020.2	6790	8737	R	1
Gene:2200949	AT1G01030.1	11649	13714	R	1
Gene:2200959	AT1G01040.1	23146	31227	F	1
Gene:6530296038	AT1G01040.2	23416	31120	F	1
Gene:4515100464	AT1G01046.1	28500	28706	F	1
Gene:2200964	AT1G01050.1	31170	33153	R	1
Gene:1009021147	AT1G01060.3	33379	37757	R	1
Gene:2200969	AT1G01060.1	33666	37840	R	1
Gene:1005715162	AT1G01060.2	33666	37780	R	1
Gene:4010711637	AT1G01060.4	33666	37780	R	1
Gene:6530296039	AT1G01060.5	33967	37871	R	1
Gene:2200989	AT1G01070.1	38752	40944	R	1
Gene:1006229933	AT1G01070.2	38752	40927	R	1
Gene:5019473854	AT1G01073.1	44677	44787	F	1
Gene:1009021145	AT1G01080.2	45296	47019	R	1
Gene:2200974	AT1G01080.1	45296	47019	R	1
Gene:2200979	AT1G01090.1	47485	49286	R	1
Gene:1005027848	AT1G01100.2	50075	51199	R	1
Gene:2200984	AT1G01100.1	50090	51108	R	1
Gene:4010711639	AT1G01100.4	50090	51187	R	1
Gene:4010711638	AT1G01100.3	50090	51197	R	1
Gene:4515100465	AT1G01110.2	52239	54692	F	1
Gene:2200944	AT1G01110.1	52869	54685	F	1
Gene:5019473855	AT1G01115.1	56624	56740	F	1
Gene:2200954	AT1G01120.1	57269	59167	R	1
Gene:3435064	AT1G01130.1	61905	63811	R	1
Gene:3435060	AT1G01140.1	64166	67625	R	1
Gene:1005715163	AT1G01140.3	64167	67625	R	1
Gene:1005715164	AT1G01140.2	64167	67625	R	1
Gene:3435068	AT1G01150.1	70115	72138	R	1
Gene:3435072	AT1G01160.1	72339	74096	F	1
Gene:5019473856	AT1G01160.2	72357	74096	F	1
Gene:3435076	AT1G01170.1	73931	74737	R	1
Gene:1009021152	AT1G01170.2	73931	74731	R	1
Gene:3435052	AT1G01180.1	75583	76758	F	1
Gene:1009021336	AT1G01183.1	78932	79032	R	1
Gene:3435056	AT1G01190.1	83045	84864	R	1
Gene:2035301	AT1G01200.1	86515	88213	R	1
Gene:2035321	AT1G01210.1	88898	89745	F	1
Gene:2035361	AT1G01220.1	91376	95651	F	1
Gene:3691147	AT1G01225.1	95987	97407	F	1
Gene:2035351	AT1G01230.1	97456	99240	F	1
Gene:1006229827	AT1G01240.3	99894	101834	F	1
Gene:2035241	AT1G01240.1	99922	101834	F	1
Gene:1006229826	AT1G01240.2	100031	101834	F	1
Gene:2035256	AT1G01250.1	104491	105330	R	1
Gene:6530296040	AT1G01260.3	108946	111597	F	1
Gene:2035236	AT1G01260.1	109032	111609	F	1
Gene:4010711640	AT1G01260.2	109076	111535	F	1
Gene:1005715327	AT1G01270.1	111890	111961	R	1
Gene:2035266	AT1G01280.1	112263	113947	F	1
Gene:2035276	AT1G01290.1	114286	115549	F	1
Gene:5019473857	AT1G01290.2	114286	116108	F	1
Gene:2035296	AT1G01300.1	116943	118764	F	1
Gene:4515100466	AT1G01305.1	119397	119997	F	1
Gene:2035316	AT1G01310.1	120154	121130	F	1
Gene:6530296041	AT1G01320.2	121067	130577	R	1
Gene:2035326	AT1G01320.1	121124	130570	R	1
Gene:2035346	AT1G01340.1	132328	135322	R	1
Gene:6530296042	AT1G01340.2	132330	135831	R	1
Gene:2035376	AT1G01350.1	136124	138162	F	1
Gene:4515100467	AT1G01355.1	138513	139568	F	1
Gene:2035226	AT1G01360.1	141971	143183	F	1
Gene:2035251	AT1G01370.1	143564	145650	F	1
Gene:1009021141	AT1G01370.2	143715	145684	F	1
Gene:2035286	AT1G01380.1	147153	147942	F	1
Gene:2035271	AT1G01390.1	148120	149806	R	1
Gene:2035291	AT1G01400.1	150689	152210	R	1
Gene:2035311	AT1G01410.1	153113	154198	F	1
Gene:2035331	AT1G01420.1	154492	156011	R	1
Gene:2035341	AT1G01430.1	156801	158655	R	1
Gene:2035306	AT1G01440.1	159856	162572	R	1
Gene:4010711643	AT1G01448.3	163419	164576	F	1
Gene:4010711641	AT1G01448.1	163431	166239	F	1
Gene:4010711642	AT1G01448.2	163432	164687	F	1
Gene:2025355	AT1G01450.1	164105	165517	R	1
Gene:4515100468	AT1G01453.1	166589	167842	R	1
Gene:4515100469	AT1G01453.2	166618	167842	R	1
Gene:2025335	AT1G01460.1	168723	171165	F	1
Gene:2025345	AT1G01470.1	172146	172948	R	1
Gene:4515100470	AT1G01471.1	173251	173466	F	1
Gene:2025360	AT1G01480.1	175782	178400	F	1
Gene:1005715534	AT1G01480.2	176141	178400	F	1
Gene:1009021142	AT1G01490.2	180059	182293	R	1
Gene:2025420	AT1G01490.1	180120	182358	R	1
