locus,gene_name,chr,orientation,start,end,goi
AT1G01010,NAC001,1,F,3631,5899,False
AT1G01020,ARV1,1,R,5928,8737,False
AT1G01030,NGA3,1,R,11649,13714,False
AT1G01040,DCL1,1,F,23146,31227,False
AT1G01046,MIR838A,1,F,28500,28706,False
AT1G01050,PPa1,1,R,31170,33153,False
AT1G01060,LHY,1,R,33379,37871,False
AT1G01070,UMAMIT28,1,R,38752,40944,False
AT1G01073,AT1G01073,1,F,44677,44787,False
AT1G01080,CP28B,1,R,45296,47019,False
AT1G01090,PDH-E1 ALPHA,1,R,47485,49286,False
AT1G01100,RPP1A,1,R,50075,51199,False
AT1G01110,IQD18,1,F,52239,54692,False
AT1G01115,AT1G01115,1,F,56624,56740,False
AT1G01120,KCS1,1,R,57269,59167,False
AT1G01130,AT1G01130,1,R,61905,63811,False
AT1G01140,CIPK9,1,R,64166,67625,False
AT1G01150,AT1G01150,1,R,70115,72138,False
AT1G01160,GIF2,1,F,72339,74096,False
AT1G01170,AT1G01170,1,R,73931,74737,False
AT1G01180,AT1G01180,1,F,75583,76758,False
AT1G01183,MIR165A,1,R,78932,79032,False
AT1G01190,AT1G01190,1,R,83045,84864,False
AT1G01200,RABA3,1,R,86515,88213,False
AT1G01210,AT1G01210,1,F,88898,89745,False
AT1G01220,FKGP,1,F,91376,95651,False
AT1G01225,AT1G01225,1,F,95987,97407,False
AT1G01230,AtORM1,1,F,97456,99240,False
AT1G01240,AT1G01240,1,F,99894,101834,False
AT1G01250,AT1G01250,1,R,104491,105330,False
AT1G01260,JAM2,1,F,108946,111609,False
AT1G01270,AT1G01270,1,R,111890,111961,False
AT1G01280,CYP703A2,1,F,112263,113947,False
AT1G01290,CNX3,1,F,114286,116108,False
AT1G01300,AT1G01300,1,F,116943,118764,False
AT1G01305,AT1G01305,1,F,119397,119997,False
AT1G01310,AT1G01310,1,F,120154,121130,False
AT1G01320,REC1,1,R,121067,130577,False
AT1G01340,CNGC10,1,R,132328,135831,False
AT1G01350,AT1G01350,1,F,136124,138162,False
AT1G01355,AT1G01355,1,F,138513,139568,False
AT1G01360,RCAR1,1,F,141971,143183,False
AT1G01370,HTR12,1,F,143564,145684,False
AT1G01380,ETC1,1,F,147153,147942,False
AT1G01390,AT1G01390,1,R,148120,149806,False
AT1G01400,AT1G01400,1,R,150689,152210,False
AT1G01410,PUM22,1,F,153113,154198,False
AT1G01420,AT1G01420,1,R,154492,156011,False
AT1G01430,TBL25,1,R,156801,158655,False
AT1G01440,AT1G01440,1,R,159856,162572,False
AT1G01448,AT1G01448,1,F,163419,166239,False
AT1G01450,MLKL3,1,R,164105,165517,False
AT1G01453,AT1G01453,1,R,166589,167842,False
AT1G01460,PIPK11,1,F,168723,171165,False
AT1G01470,LEA14,1,R,172146,172948,False
AT1G01471,AT1G01471,1,F,173251,173466,False
AT1G01480,ACS2,1,F,175782,178400,False
AT1G01490,AtHMP01,1,R,180059,182358,False
AT1G01500,AT1G01500,1,F,185133,186923,False
AT1G01510,AN,1,F,187211,190056,False
AT1G01520,ASG4,1,F,190596,192139,False
AT1G01530,AGL28,1,R,192640,193670,False
AT1G01540,AT1G01540,1,F,195780,198684,False
AT1G01550,BPS1,1,F,199639,201775,False
AT1G01560,MPK11,1,F,202136,204335,False
AT1G01570,AT1G01570,1,F,205176,207435,False
AT1G01580,AT1G01580,1,F,209395,213041,False
AT1G01590,FRO1,1,F,214229,217304,False
AT1G01600,CYP86A4,1,F,218994,221286,False
AT1G01610,GPAT4,1,R,221691,224340,False
AT1G01620,PIP1C,1,R,225665,227302,False
AT1G01630,AT1G01630,1,F,229013,230917,False
AT1G01640,AT1G01640,1,R,230994,232508,False
AT1G01650,SPPL4,1,R,232841,237817,False
AT1G01660,PUB55,1,R,240057,242608,False
AT1G01670,PUB56,1,R,242843,245988,False
AT1G01680,PUB54,1,R,246411,248367,False
AT1G01690,PRD3,1,F,249141,252462,False
AT1G01695,TRM33,1,F,252947,254495,False
AT1G01700,AT1G01700,1,R,259495,261474,False
AT1G01710,AT1G01710,1,F,262828,267771,False
AT1G01720,ATAF1,1,F,268330,269819,False
AT1G01725,AT1G01725,1,R,269792,270775,False
AT1G01730,AT1G01730,1,F,270956,272061,False
AT1G01740,BSK4,1,R,272111,274569,False
AT1G01750,AT1G01750,1,F,275366,276310,False
AT1G01760,AT1G01760,1,R,276266,278448,False
AT1G01770,AT1G01770,1,F,278615,282891,False
AT1G01780,PLIM2b,1,F,282761,284245,False
AT1G01790,KEA1,1,F,284610,291094,False
AT1G01800,AT1G01800,1,F,293342,295040,False
AT1G01810,AT1G01810,1,F,295221,295859,False
AT1G01820,PEX11C,1,R,296001,298120,False
AT1G01830,AT1G01830,1,R,298535,302315,False
AT1G01840,AT1G01840,1,F,303537,304358,False
AT1G01860,AT1G01860,1,R,304133,306287,False
AT1G01870,AT1G01870,1,F,306384,306456,False
AT1G01880,GEN1,1,R,306480,309109,False
AT1G01890,AT1G01890,1,R,309275,309347,False
AT1G01900,SBTI1.1,1,F,310316,313130,False
AT1G01910,GET3a,1,R,313101,315902,False
AT1G01920,AT1G01920,1,F,316128,319650,False
AT1G01930,AT1G01930,1,R,319836,322860,False
AT1G01940,CYP18-1,1,F,323027,324917,False
AT1G01950,ARK2,1,F,325379,330619,False
AT1G01960,EDA10,1,R,330588,337582,False
AT1G01970,AT1G01970,1,F,338291,340077,False
AT1G01980,AtBBE1,1,R,340172,341999,False
AT1G01990,AT1G01990,1,R,343166,344341,False
AT1G02000,GAE2,1,F,345812,347592,False
AT1G02010,AT1G02010,1,F,347891,352480,False
AT1G02020,AT1G02020,1,R,352637,354969,False
AT1G02030,AT1G02030,1,R,355321,357258,False
AT1G02040,AT1G02040,1,R,358104,359078,False
AT1G02050,LAP6,1,R,359117,360518,False
AT1G02060,AT1G02060,1,R,360918,363094,False
AT1G02065,SPL8,1,F,365209,367340,False
AT1G02070,AT1G02070,1,R,370257,370967,False
AT1G02074,AT1G02074,1,F,372064,372210,False
AT1G02080,NOT1,1,F,373335,386847,False
AT1G02090,FUS5,1,R,387277,389647,False
AT1G02100,SBI1,1,F,389812,392816,False
AT1G02110,AT1G02110,1,F,392831,395528,False
AT1G02120,VAD1,1,F,395761,399897,False
AT1G02130,RA-5,1,R,400035,401882,False
AT1G02136,AT1G02136,1,R,402693,402961,False
AT1G02140,MAGO,1,R,403190,404456,False
AT1G02145,ALG12,1,F,404600,408619,False
AT1G02150,CCR16,1,F,408622,410611,False
AT1G02160,AT1G02160,1,F,410748,411597,False
AT1G02170,MC1,1,F,411779,413554,False
AT1G02180,AT1G02180,1,R,413522,414645,False
AT1G02190,CER1-L1,1,F,415079,418010,False
AT1G02205,CER1,1,F,418748,422438,False
AT1G02210,AT1G02210,1,R,427548,427811,False
AT1G02220,NAC003,1,R,428814,430647,False
AT1G02228,AT1G02228,1,R,433031,433819,False
AT1G02230,NAC004,1,R,435174,436776,False
AT1G02250,NAC005,1,R,437951,439559,False
AT1G02260,AT1G02260,1,R,440441,442877,False
AT1G02270,AT1G02270,1,R,443149,446235,False
AT1G02280,TOC33,1,R,448463,450426,False
AT1G02290,NFRKB3,1,R,450527,452737,False
AT1G02300,AtcathB1,1,F,453288,455463,False
AT1G02305,AtcathB2,1,F,455688,458164,False
AT1G02310,AT1G02310,1,R,458133,460696,False
AT1G02320,AT1G02320,1,F,461828,461974,False
AT1G02330,CSU2,1,R,462075,463612,False
AT1G02335,GL22,1,R,463855,464924,False
AT1G02340,HFR1,1,R,465718,467844,False
AT1G02350,AT1G02350,1,F,469818,470693,False
AT1G02360,AT1G02360,1,R,471990,473160,False
AT1G02370,AT1G02370,1,F,474500,476511,False
AT1G02380,AT1G02380,1,F,477000,478971,False
AT1G02390,GPAT2,1,F,480852,483292,False
AT1G02391,AT1G02391,1,R,483764,483919,False
AT1G02400,GA2OX6,1,F,486801,489577,False
AT1G02405,AT1G02405,1,R,489979,490505,False
AT1G02410,COX11,1,F,490925,492926,False
AT1G02420,AT1G02420,1,F,493683,495158,False
AT1G02430,ARFD1B,1,R,495050,496062,False
AT1G02440,ARFD1A,1,R,496586,497479,False
AT1G02450,NIMIN1,1,R,497976,498516,False
AT1G02460,AT1G02460,1,R,504673,507204,False
AT1G02470,AT1G02470,1,R,511765,513624,False
AT1G02475,AT1G02475,1,R,513843,515404,False
AT1G02480,AT1G02480,1,F,515494,515566,False
AT1G02490,AT1G02490,1,F,516618,516734,False
AT1G02500,SAM1,1,F,518251,520437,False
AT1G02510,TPK4,1,R,520498,521668,False
AT1G02520,ABCB11,1,F,523651,528745,False
AT1G02530,ABCB12,1,F,529795,534677,False
AT1G02540,AT1G02540,1,R,534827,535699,False
AT1G02550,AT1G02550,1,F,536483,537211,False
AT1G02560,CLPP5,1,F,537860,540109,False
AT1G02570,AT1G02570,1,F,541335,542240,False
AT1G02575,AT1G02575,1,F,543110,544007,False
AT1G02580,MEA,1,F,544783,549202,False
AT1G02590,AT1G02590,1,R,552138,552761,False
AT1G02600,AT1G02600,1,F,552640,552711,False
AT1G02610,AT1G02610,1,R,553050,555994,False
AT1G02620,AT1G02620,1,F,557092,557986,False
AT1G02630,AT1G02630,1,R,560610,562424,False
AT1G02640,BXL2,1,F,564205,567769,False
AT1G02650,AT1G02650,1,F,568704,570418,False
